LATITUDE,LONGITUDE,DATE(IST),AIR_TEMPERATURE,SOIL_TEMPERATURE,SOIL_MOISTURE,RAINFALL
16.779,75.75,19/1/2016,24.75,27.5,6.2,69.0
16.779,75.75,20/1/2016,19.55,26.1,6.2,69.0
16.779,75.75,21/1/2016,21.4,26.6,6.2,69.0
16.779,75.75,22/1/2016,21.95,26.5,6.2,69.0
16.779,75.75,23/1/2016,21.1,26.8,6.2,69.0
16.779,75.75,24/1/2016,21.4,27.4,6.2,69.0
16.779,75.75,25/1/2016,20.7,27.5,6.2,69.0
16.779,75.75,26/1/2016,20.55,28.0,6.2,69.0
16.779,75.75,27/1/2016,23.25,28.5,6.2,69.0
16.779,75.75,28/1/2016,20.45,27.9,6.2,69.0
16.779,75.75,29/1/2016,18.85,27.3,6.1,69.0
16.779,75.75,30/1/2016,21.8,27.7,6.1,69.0
16.779,75.75,31/1/2016,20.4,28.3,6.1,69.0
16.779,75.75,1/2/2016,22.15,28.8,6.1,69.0
16.779,75.75,2/2/2016,21.55,28.8,6.1,69.0
16.779,75.75,3/2/2016,19.35,28.6,6.1,69.0
16.779,75.75,4/2/2016,22.8,28.1,6.0,69.0
16.779,75.75,5/2/2016,20.95,28.2,6.0,69.0
16.779,75.75,6/2/2016,23.2,28.5,6.0,69.0
16.779,75.75,7/2/2016,24.95,29.1,6.0,69.0
16.779,75.75,8/2/2016,23.45,29.5,6.1,69.0
16.779,75.75,9/2/2016,27.55,30.8,6.1,69.0
16.779,75.75,10/2/2016,27.05,30.9,6.1,69.0
16.779,75.75,11/2/2016,26.25,30.9,6.1,69.0
16.779,75.75,12/2/2016,24.55,30.9,6.1,69.0
16.779,75.75,13/2/2016,25.4,30.9,6.1,69.0
16.779,75.75,14/2/2016,24.9,30.6,6.1,69.0
16.779,75.75,15/2/2016,28.8,31.1,6.1,69.0
16.779,75.75,16/2/2016,22.3,30.1,6.0,69.0
16.779,75.75,17/2/2016,26.4,30.7,6.1,69.0
16.779,75.75,18/2/2016,21.7,29.4,6.0,69.0
16.779,75.75,19/2/2016,24.35,30.5,6.0,69.0
16.779,75.75,20/2/2016,24.25,30.5,6.0,69.0
16.779,75.75,21/2/2016,25.0,31.1,6.0,69.0
16.779,75.75,22/2/2016,28.4,32.3,6.1,69.0
16.779,75.75,23/2/2016,30.3,33.2,6.1,69.0
16.779,75.75,24/2/2016,29.1,33.2,6.1,69.0
16.779,75.75,25/2/2016,27.5,32.6,6.1,69.0
16.779,75.75,26/2/2016,27.5,32.5,6.1,69.0
16.779,75.75,27/2/2016,30.0,33.0,6.1,69.0
16.779,75.75,28/2/2016,29.5,34.0,6.1,69.0
16.779,75.75,29/2/2016,27.0,33.6,6.1,69.0
16.779,75.75,1/3/2016,28.5,33.5,6.1,69.0
16.779,75.75,2/3/2016,26.3,32.0,6.0,69.0
16.779,75.75,3/3/2016,22.4,31.8,6.0,69.0
16.779,75.75,4/3/2016,24.7,31.5,6.0,69.0
16.779,75.75,5/3/2016,21.75,32.2,6.2,69.0
16.779,75.75,6/3/2016,23.8,28.6,10.6,69.0
16.779,75.75,7/3/2016,27.85,30.4,10.3,69.0
16.779,75.75,8/3/2016,28.1,30.4,10.1,69.0
16.779,75.75,9/3/2016,30.45,31.0,10.0,69.0
16.779,75.75,10/3/2016,25.65,30.5,9.8,69.0
16.779,75.75,11/3/2016,27.1,31.5,9.8,69.0
16.779,75.75,12/3/2016,30.25,31.6,9.7,69.0
16.779,75.75,13/3/2016,29.25,32.4,9.7,69.0
16.779,75.75,14/3/2016,27.3,31.6,9.5,69.0
16.779,75.75,15/3/2016,26.3,30.7,9.4,69.0
16.779,75.75,16/3/2016,28.5,31.4,9.3,69.0
16.779,75.75,17/3/2016,26.6,31.8,9.2,69.0
16.779,75.75,18/3/2016,29.05,31.9,9.1,69.0
16.779,75.75,19/3/2016,29.5,32.1,8.9,69.0
16.779,75.75,20/3/2016,29.45,32.3,8.7,69.0
16.779,75.75,21/3/2016,31.4,32.4,8.4,69.0
16.779,75.75,22/3/2016,31.5,32.3,8.0,69.0
16.779,75.75,23/3/2016,28.8,32.6,7.7,69.0
16.779,75.75,24/3/2016,30.1,32.7,7.5,69.0
16.779,75.75,25/3/2016,32.85,33.8,7.3,69.0
16.779,75.75,26/3/2016,31.8,33.8,7.1,69.0
16.779,75.75,27/3/2016,32.95,33.5,7.0,69.0
16.779,75.75,28/3/2016,30.8,33.6,6.9,69.0
16.779,75.75,29/3/2016,31.9,33.9,6.8,69.0
16.779,75.75,30/3/2016,30.5,34.3,6.7,69.0
16.779,75.75,31/3/2016,31.05,34.5,6.6,69.0
16.779,75.75,1/4/2016,29.95,33.5,6.5,69.0
16.779,75.75,2/4/2016,29.25,34.0,6.4,69.0
16.779,75.75,3/4/2016,31.55,35.2,6.5,69.0
16.779,75.75,4/4/2016,31.5,33.4,6.3,69.0
16.779,75.75,5/4/2016,32.2,35.5,6.4,69.0
16.779,75.75,6/4/2016,26.2,32.7,6.2,69.0
16.779,75.75,7/4/2016,26.9,33.2,6.3,69.0
16.779,75.75,8/4/2016,29.25,34.5,6.4,69.0
16.779,75.75,9/4/2016,32.75,35.4,6.4,69.0
16.779,75.75,10/4/2016,25.95,34.9,6.4,69.0
